lat	lon	amp			
57.84611111	27.01944444	6.119439491			
58.38305556	21.81527778	22.03686636			
59.32888889	27.39833333	21.70527394			
58.74972222	26.415	22.97227467			
58.23194444	22.50638889	14.798409			
58.09305556	23.97027778	9.887096774			
59.38916667	28.11277778	18.96543779			
58.95111111	23.81555556	20.15588838			
58.38444444	24.48583333	19.86928178			
57.78333333	23.25888889	9.911166253			
58.92083333	22.06638889	6.966559774			
59.3925	24.60277778	19.4500768			
58.86527778	26.95222222	17.03763441			
59.14138889	26.23083333	24.28233487			
58.80861111	25.40916667	23.83947773			
58.37777778	25.60027778	24.50691244			
58.57277778	23.51361111	13.84103065			
